Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validations,Chrome 129.0.0.0,,,25-09-2024 16:00:54,25-09-2024 16:02:01,1m - 6.463s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC1_PrevalidationsAndConf,Chrome 129.0.0.0,,,25-09-2024 16:00:54,25-09-2024 16:01:26,31.972s,PASSED
try,Chrome 129.0.0.0,,,25-09-2024 16:00:57,25-09-2024 16:01:22,24.707s,PASSED
catch (Exception e),Chrome 129.0.0.0,,,25-09-2024 16:01:22,25-09-2024 16:01:22,0.044s,PASSED
Finally,Chrome 129.0.0.0,,,25-09-2024 16:01:22,25-09-2024 16:01:24,2.155s,PASSED
Video,Chrome 129.0.0.0,,,25-09-2024 16:01:26,25-09-2024 16:01:26,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC2_PrevalidationsByCtryOrCurr,Chrome 129.0.0.0,,,25-09-2024 16:01:26,25-09-2024 16:02:01,34.321s,PASSED
try,Chrome 129.0.0.0,,,25-09-2024 16:01:27,25-09-2024 16:01:56,29.837s,PASSED
Finally,Chrome 129.0.0.0,,,25-09-2024 16:01:56,25-09-2024 16:01:59,2.174s,PASSED
Video,Chrome 129.0.0.0,,,25-09-2024 16:02:01,25-09-2024 16:02:01,0.001s,PASSED
