Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validations,Chrome 131.0.0.0,,,20-01-2025 16:51:23,20-01-2025 16:52:33,1m - 9.171s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC1_PrevalidationsAndConf,Chrome 131.0.0.0,,,20-01-2025 16:51:23,20-01-2025 16:51:58,34.931s,PASSED
try,Chrome 131.0.0.0,,,20-01-2025 16:51:28,20-01-2025 16:51:54,26.460s,PASSED
catch (Exception e),Chrome 131.0.0.0,,,20-01-2025 16:51:54,20-01-2025 16:51:54,0.043s,PASSED
Finally,Chrome 131.0.0.0,,,20-01-2025 16:51:54,20-01-2025 16:51:56,2.141s,PASSED
Video,Chrome 131.0.0.0,,,20-01-2025 16:51:58,20-01-2025 16:51:58,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC2_PrevalidationsByCtryOrCurr,Chrome 131.0.0.0,,,20-01-2025 16:51:58,20-01-2025 16:52:33,34.111s,PASSED
try,Chrome 131.0.0.0,,,20-01-2025 16:51:59,20-01-2025 16:52:28,29.661s,PASSED
Finally,Chrome 131.0.0.0,,,20-01-2025 16:52:28,20-01-2025 16:52:30,2.129s,PASSED
Video,Chrome 131.0.0.0,,,20-01-2025 16:52:33,20-01-2025 16:52:33,0.000s,PASSED
