Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Wallets,Chrome 131.0.0.0,,,22-01-2025 14:58:32,22-01-2025 15:00:11,1m - 39.619s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC3_Wallet_Update,Chrome 131.0.0.0,,,22-01-2025 14:58:32,22-01-2025 14:58:57,25.153s,PASSED
try,Chrome 131.0.0.0,,,22-01-2025 14:58:33,22-01-2025 14:58:52,18.802s,PASSED
catch (AssertionError e),Chrome 131.0.0.0,,,22-01-2025 14:58:52,22-01-2025 14:58:53,1.035s,PASSED
Finally,Chrome 131.0.0.0,,,22-01-2025 14:58:53,22-01-2025 14:58:55,2.139s,PASSED
Video,Chrome 131.0.0.0,,,22-01-2025 14:58:57,22-01-2025 14:58:57,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/Wallet_Get,Chrome 131.0.0.0,,,22-01-2025 14:58:57,22-01-2025 14:59:09,12.063s,PASSED
try,Chrome 131.0.0.0,,,22-01-2025 14:58:57,22-01-2025 14:59:05,7.761s,PASSED
Finally,Chrome 131.0.0.0,,,22-01-2025 14:59:05,22-01-2025 14:59:07,2.129s,PASSED
Video,Chrome 131.0.0.0,,,22-01-2025 14:59:09,22-01-2025 14:59:09,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC2__Replace,Chrome 131.0.0.0,,,22-01-2025 14:59:09,22-01-2025 14:59:31,21.598s,PASSED
try,Chrome 131.0.0.0,,,22-01-2025 14:59:09,22-01-2025 14:59:26,17.103s,PASSED
catch (Exception e),Chrome 131.0.0.0,,,22-01-2025 14:59:26,22-01-2025 14:59:26,0.014s,PASSED
Finally,Chrome 131.0.0.0,,,22-01-2025 14:59:26,22-01-2025 14:59:28,2.134s,PASSED
Video,Chrome 131.0.0.0,,,22-01-2025 14:59:30,22-01-2025 14:59:31,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC1_Wallet_Add,Chrome 131.0.0.0,,,22-01-2025 14:59:31,22-01-2025 14:59:50,19.509s,PASSED
try,Chrome 131.0.0.0,,,22-01-2025 14:59:31,22-01-2025 14:59:47,16.203s,PASSED
catch (AssertionError e),Chrome 131.0.0.0,,,22-01-2025 14:59:47,22-01-2025 14:59:48,0.984s,PASSED
Video,Chrome 131.0.0.0,,,22-01-2025 14:59:50,22-01-2025 14:59:50,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC4_Wallet_Delete,Chrome 131.0.0.0,,,22-01-2025 14:59:50,22-01-2025 15:00:11,21.140s,PASSED
try,Chrome 131.0.0.0,,,22-01-2025 14:59:50,22-01-2025 15:00:06,15.719s,PASSED
catch (AssertionError e),Chrome 131.0.0.0,,,22-01-2025 15:00:06,22-01-2025 15:00:07,0.950s,PASSED
Finally,Chrome 131.0.0.0,,,22-01-2025 15:00:07,22-01-2025 15:00:09,2.182s,PASSED
Video,Chrome 131.0.0.0,,,22-01-2025 15:00:11,22-01-2025 15:00:11,0.000s,PASSED
