Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GiftCard,Chrome 129.0.0.0,,,04-10-2024 10:14:18,04-10-2024 10:16:33,2m - 14.520s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/GiftCard/TC1_GiftCard_GetBalance,Chrome 129.0.0.0,,,04-10-2024 10:14:19,04-10-2024 10:16:33,2m - 14.189s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 10:14:26,04-10-2024 10:16:28,2m - 2.470s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 10:16:28,04-10-2024 10:16:31,2.337s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 10:16:33,04-10-2024 10:16:33,0.001s,PASSED
