Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validations,Chrome 136.0.0.0,,,26-05-2025 09:33:27,26-05-2025 09:36:09,2m - 42.504s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC1_PrevalidationsAndConf,Chrome 136.0.0.0,,,26-05-2025 09:33:27,26-05-2025 09:35:18,1m - 51.284s,PASSED
try,Chrome 136.0.0.0,,,26-05-2025 09:33:29,26-05-2025 09:35:14,1m - 44.718s,PASSED
Finally,Chrome 136.0.0.0,,,26-05-2025 09:35:14,26-05-2025 09:35:16,2.600s,PASSED
Video,Chrome 136.0.0.0,,,26-05-2025 09:35:18,26-05-2025 09:35:18,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC2_PrevalidationsByCtryOrCurr,Chrome 136.0.0.0,,,26-05-2025 09:35:18,26-05-2025 09:36:09,51.105s,PASSED
try,Chrome 136.0.0.0,,,26-05-2025 09:35:19,26-05-2025 09:36:05,46.470s,PASSED
Finally,Chrome 136.0.0.0,,,26-05-2025 09:36:05,26-05-2025 09:36:07,2.127s,PASSED
Video,Chrome 136.0.0.0,,,26-05-2025 09:36:09,26-05-2025 09:36:09,0.000s,PASSED
