Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cardTokenization,,,,16-09-2024 13:49:58,16-09-2024 13:50:19,21.147s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC2_CardTokenization_GenerateToken,,,,16-09-2024 13:49:58,16-09-2024 13:50:11,12.188s,PASSED
try,,,,16-09-2024 13:50:00,16-09-2024 13:50:08,7.978s,FAILED
catch (Exception e),,,,16-09-2024 13:50:08,16-09-2024 13:50:08,0.412s,PASSED
Finally,,,,16-09-2024 13:50:08,16-09-2024 13:50:10,2.184s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC1_CardTokenization_EncryptedCard,,,,16-09-2024 13:50:11,16-09-2024 13:50:19,8.657s,PASSED
try,,,,16-09-2024 13:50:11,16-09-2024 13:50:17,5.750s,FAILED
catch (Exception e),,,,16-09-2024 13:50:17,16-09-2024 13:50:17,0.025s,PASSED
Finally,,,,16-09-2024 13:50:17,16-09-2024 13:50:19,2.022s,PASSED
