Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cardTokenization,Chrome 126.0.0.0,,,19-07-2024 15:50:00,19-07-2024 15:52:21,2m - 21.148s,PASSED
,,,,,,,
Test Cases/Web_Utilities/cardTokenization/TC2_CardTokenization_GenerateToken,Chrome 126.0.0.0,,,19-07-2024 15:50:00,19-07-2024 15:51:14,1m - 14.675s,PASSED
try,Chrome 126.0.0.0,,,19-07-2024 15:50:00,19-07-2024 15:51:12,1m - 11.802s,PASSED
Finally,Chrome 126.0.0.0,,,19-07-2024 15:51:12,19-07-2024 15:51:14,2.211s,PASSED
,,,,,,,
Test Cases/Web_Utilities/cardTokenization/TC1_CardTokenization_EncryptedCard,Chrome 126.0.0.0,,,19-07-2024 15:51:14,19-07-2024 15:52:21,1m - 6.316s,PASSED
try,Chrome 126.0.0.0,,,19-07-2024 15:51:15,19-07-2024 15:52:19,1m - 3.994s,PASSED
Finally,Chrome 126.0.0.0,,,19-07-2024 15:52:19,19-07-2024 15:52:21,2.157s,PASSED
