Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cardTokenization,Chrome 128.0.0.0,,,19-09-2024 11:17:47,19-09-2024 11:19:05,1m - 17.566s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC2_CardTokenization_GenerateToken,Chrome 128.0.0.0,,,19-09-2024 11:17:48,19-09-2024 11:18:28,40.725s,PASSED
try,Chrome 128.0.0.0,,,19-09-2024 11:17:49,19-09-2024 11:18:26,36.572s,PASSED
Finally,Chrome 128.0.0.0,,,19-09-2024 11:18:26,19-09-2024 11:18:28,2.631s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC1_CardTokenization_EncryptedCard,Chrome 128.0.0.0,,,19-09-2024 11:18:28,19-09-2024 11:19:05,36.614s,PASSED
try,Chrome 128.0.0.0,,,19-09-2024 11:18:29,19-09-2024 11:19:03,33.917s,PASSED
Finally,Chrome 128.0.0.0,,,19-09-2024 11:19:03,19-09-2024 11:19:05,2.329s,PASSED
