Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Wallets,Chrome 129.0.0.0,,,04-10-2024 10:14:19,04-10-2024 10:17:19,2m - 59.818s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC3_Wallet_Update,Chrome 129.0.0.0,,,04-10-2024 10:14:19,04-10-2024 10:15:26,1m - 6.598s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 10:14:27,04-10-2024 10:15:16,49.073s,PASSED
catch (AssertionError e),Chrome 129.0.0.0,,,04-10-2024 10:15:16,04-10-2024 10:15:20,4.631s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 10:15:20,04-10-2024 10:15:24,3.124s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 10:15:26,04-10-2024 10:15:26,0.003s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC2__Replace,Chrome 129.0.0.0,,,04-10-2024 10:15:26,04-10-2024 10:16:10,44.138s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 10:15:27,04-10-2024 10:16:05,38.028s,PASSED
catch (Exception e),Chrome 129.0.0.0,,,04-10-2024 10:16:05,04-10-2024 10:16:05,0.026s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 10:16:05,04-10-2024 10:16:08,2.247s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 10:16:10,04-10-2024 10:16:10,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC1_Wallet_Add,Chrome 129.0.0.0,,,04-10-2024 10:16:10,04-10-2024 10:16:41,31.291s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 10:16:11,04-10-2024 10:16:34,23.214s,PASSED
catch (AssertionError e),Chrome 129.0.0.0,,,04-10-2024 10:16:34,04-10-2024 10:16:37,2.462s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 10:16:37,04-10-2024 10:16:39,2.307s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 10:16:41,04-10-2024 10:16:41,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC4_Wallet_Delete,Chrome 129.0.0.0,,,04-10-2024 10:16:41,04-10-2024 10:17:19,37.420s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 10:16:42,04-10-2024 10:17:10,28.023s,PASSED
catch (AssertionError e),Chrome 129.0.0.0,,,04-10-2024 10:17:10,04-10-2024 10:17:14,4.359s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 10:17:14,04-10-2024 10:17:16,2.259s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 10:17:19,04-10-2024 10:17:19,0.002s,PASSED
