Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Payment,Chrome 129.0.0.0,,,04-10-2024 11:07:53,04-10-2024 11:09:47,1m - 54.601s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Payments/TC2_Payment_CapturePayment,Chrome 129.0.0.0,,,04-10-2024 11:07:53,04-10-2024 11:08:42,48.922s,PASSED
utils.openBrowserAndNavigateToPMT(),Chrome 129.0.0.0,,,04-10-2024 11:08:02,04-10-2024 11:08:16,14.276s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 11:08:16,04-10-2024 11:08:37,21.154s,FAILED
catch (Exception e),Chrome 129.0.0.0,,,04-10-2024 11:08:37,04-10-2024 11:08:38,0.244s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 11:08:38,04-10-2024 11:08:40,2.178s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 11:08:42,04-10-2024 11:08:42,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Payments/TC1_Payment_AuthorizePayment,Chrome 129.0.0.0,,,04-10-2024 11:08:42,04-10-2024 11:09:47,1m - 5.287s,PASSED
utils.openBrowserAndNavigateToPMT(),Chrome 129.0.0.0,,,04-10-2024 11:08:42,04-10-2024 11:08:56,13.557s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 11:08:56,04-10-2024 11:09:43,46.859s,FAILED
catch (Exception e),Chrome 129.0.0.0,,,04-10-2024 11:09:43,04-10-2024 11:09:43,0.025s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 11:09:43,04-10-2024 11:09:45,2.364s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 11:09:47,04-10-2024 11:09:47,0.002s,PASSED
