Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validations,Chrome 133.0.0.0,,,13-02-2025 22:15:34,13-02-2025 22:16:44,1m - 9.047s,ERROR
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC1_PrevalidationsAndConf,Chrome 133.0.0.0,,,13-02-2025 22:15:35,13-02-2025 22:16:41,1m - 6.518s,PASSED
try,Chrome 133.0.0.0,,,13-02-2025 22:15:38,13-02-2025 22:16:37,58.816s,PASSED
catch (Exception e),Chrome 133.0.0.0,,,13-02-2025 22:16:37,13-02-2025 22:16:37,0.051s,PASSED
Finally,Chrome 133.0.0.0,,,13-02-2025 22:16:37,13-02-2025 22:16:39,2.152s,PASSED
Video,Chrome 133.0.0.0,,,13-02-2025 22:16:41,13-02-2025 22:16:41,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC2_PrevalidationsByCtryOrCurr,Chrome 133.0.0.0,,,13-02-2025 22:16:41,13-02-2025 22:16:44,2.325s,ERROR
Video,Chrome 133.0.0.0,,,13-02-2025 22:16:44,13-02-2025 22:16:44,0.001s,PASSED
