Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GiftCard,Chrome 131.0.0.0,,,16-01-2025 12:39:16,16-01-2025 12:40:31,1m - 15.496s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/GiftCard/TC1_GiftCard_GetBalance,Chrome 131.0.0.0,,,16-01-2025 12:39:16,16-01-2025 12:40:31,1m - 15.357s,PASSED
try,Chrome 131.0.0.0,,,16-01-2025 12:39:18,16-01-2025 12:40:27,1m - 8.855s,PASSED
Finally,Chrome 131.0.0.0,,,16-01-2025 12:40:27,16-01-2025 12:40:29,2.152s,PASSED
Video,Chrome 131.0.0.0,,,16-01-2025 12:40:31,16-01-2025 12:40:31,0.001s,PASSED
