Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GiftCard,Chrome 129.0.0.0,,,04-10-2024 08:22:18,04-10-2024 08:24:03,1m - 44.579s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/GiftCard/TC1_GiftCard_GetBalance,Chrome 129.0.0.0,,,04-10-2024 08:22:19,04-10-2024 08:24:03,1m - 44.284s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 08:22:26,04-10-2024 08:23:58,1m - 32.803s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 08:23:58,04-10-2024 08:24:01,2.358s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 08:24:03,04-10-2024 08:24:03,0.002s,PASSED
