Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validations,Chrome 128.0.0.0,,,19-09-2024 11:17:47,19-09-2024 11:19:38,1m - 51.495s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC1_PrevalidationsAndConf,Chrome 128.0.0.0,,,19-09-2024 11:17:47,19-09-2024 11:18:55,1m - 8.050s,PASSED
try,Chrome 128.0.0.0,,,19-09-2024 11:17:49,19-09-2024 11:18:52,1m - 3.495s,PASSED
catch (Exception e),Chrome 128.0.0.0,,,19-09-2024 11:18:52,19-09-2024 11:18:52,0.161s,PASSED
Finally,Chrome 128.0.0.0,,,19-09-2024 11:18:52,19-09-2024 11:18:55,2.497s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC2_PrevalidationsByCtryOrCurr,Chrome 128.0.0.0,,,19-09-2024 11:18:55,19-09-2024 11:19:38,43.171s,PASSED
try,Chrome 128.0.0.0,,,19-09-2024 11:18:56,19-09-2024 11:19:36,39.995s,PASSED
Finally,Chrome 128.0.0.0,,,19-09-2024 11:19:36,19-09-2024 11:19:38,2.549s,PASSED
