Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validations,Chrome 129.0.0.0,,,16-10-2024 15:08:24,16-10-2024 15:11:41,3m - 16.782s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC1_PrevalidationsAndConf,Chrome 129.0.0.0,,,16-10-2024 15:08:24,16-10-2024 15:11:26,3m - 1.576s,PASSED
try,Chrome 129.0.0.0,,,16-10-2024 15:08:28,16-10-2024 15:11:21,2m - 53.429s,PASSED
Finally,Chrome 129.0.0.0,,,16-10-2024 15:11:21,16-10-2024 15:11:24,2.272s,PASSED
Video,Chrome 129.0.0.0,,,16-10-2024 15:11:26,16-10-2024 15:11:26,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC2_PrevalidationsByCtryOrCurr,Chrome 129.0.0.0,,,16-10-2024 15:11:26,16-10-2024 15:11:41,14.879s,PASSED
try,Chrome 129.0.0.0,,,16-10-2024 15:11:26,16-10-2024 15:11:36,9.814s,PASSED
catch (Exception e),Chrome 129.0.0.0,,,16-10-2024 15:11:36,16-10-2024 15:11:36,0.189s,PASSED
Finally,Chrome 129.0.0.0,,,16-10-2024 15:11:36,16-10-2024 15:11:39,2.167s,PASSED
Video,Chrome 129.0.0.0,,,16-10-2024 15:11:41,16-10-2024 15:11:41,0.000s,PASSED
