Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Wallets,Chrome 129.0.0.0,,,04-10-2024 08:22:19,04-10-2024 08:24:39,2m - 19.702s,FAILED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC3_Wallet_Update,Chrome 129.0.0.0,,,04-10-2024 08:22:19,04-10-2024 08:23:12,53.070s,FAILED
try,Chrome 129.0.0.0,,,04-10-2024 08:22:26,04-10-2024 08:22:59,33.196s,PASSED
catch (AssertionError e),Chrome 129.0.0.0,,,04-10-2024 08:22:59,04-10-2024 08:23:01,1.778s,FAILED
Finally,Chrome 129.0.0.0,,,04-10-2024 08:23:01,04-10-2024 08:23:05,3.872s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 08:23:12,04-10-2024 08:23:12,0.002s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC2__Replace,Chrome 129.0.0.0,,,04-10-2024 08:23:12,04-10-2024 08:23:37,24.865s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 08:23:13,04-10-2024 08:23:31,18.469s,PASSED
catch (Exception e),Chrome 129.0.0.0,,,04-10-2024 08:23:31,04-10-2024 08:23:32,0.051s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 08:23:32,04-10-2024 08:23:35,3.181s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 08:23:37,04-10-2024 08:23:37,0.002s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC1_Wallet_Add,Chrome 129.0.0.0,,,04-10-2024 08:23:37,04-10-2024 08:24:08,31.034s,FAILED
try,Chrome 129.0.0.0,,,04-10-2024 08:23:38,04-10-2024 08:24:01,22.971s,PASSED
catch (AssertionError e),Chrome 129.0.0.0,,,04-10-2024 08:24:01,04-10-2024 08:24:04,2.506s,FAILED
Finally,Chrome 129.0.0.0,,,04-10-2024 08:24:04,04-10-2024 08:24:06,2.330s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 08:24:08,04-10-2024 08:24:08,0.003s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC4_Wallet_Delete,Chrome 129.0.0.0,,,04-10-2024 08:24:08,04-10-2024 08:24:39,30.448s,FAILED
try,Chrome 129.0.0.0,,,04-10-2024 08:24:09,04-10-2024 08:24:32,23.260s,PASSED
catch (AssertionError e),Chrome 129.0.0.0,,,04-10-2024 08:24:32,04-10-2024 08:24:34,1.916s,FAILED
Finally,Chrome 129.0.0.0,,,04-10-2024 08:24:34,04-10-2024 08:24:37,2.282s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 08:24:39,04-10-2024 08:24:39,0.001s,PASSED
