Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ScheduledPayments,Chrome 129.0.0.0,,,04-10-2024 11:07:53,04-10-2024 11:11:16,3m - 22.871s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/ScheduledPayments/TC1_ScheduledPayment_GetEligibility,Chrome 129.0.0.0,,,04-10-2024 11:07:53,04-10-2024 11:08:48,54.535s,PASSED
utils.openBrowserAndNavigateToPMT(),Chrome 129.0.0.0,,,04-10-2024 11:08:02,04-10-2024 11:08:14,12.487s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 11:08:14,04-10-2024 11:08:43,28.786s,FAILED
catch (Exception e),Chrome 129.0.0.0,,,04-10-2024 11:08:43,04-10-2024 11:08:43,0.192s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 11:08:43,04-10-2024 11:08:45,2.195s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 11:08:48,04-10-2024 11:08:48,0.003s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/ScheduledPayments/TC3_ScheduledPayment_Add,Chrome 129.0.0.0,,,04-10-2024 11:08:48,04-10-2024 11:09:56,1m - 7.730s,PASSED
utils.openBrowserAndNavigateToPMT(),Chrome 129.0.0.0,,,04-10-2024 11:08:49,04-10-2024 11:09:01,11.990s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 11:09:01,04-10-2024 11:09:51,50.106s,FAILED
catch (Exception e),Chrome 129.0.0.0,,,04-10-2024 11:09:51,04-10-2024 11:09:51,0.022s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 11:09:51,04-10-2024 11:09:54,2.323s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 11:09:56,04-10-2024 11:09:56,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/ScheduledPayments/TC2_ScheduledPayment_ConfirmWithRequest,Chrome 129.0.0.0,,,04-10-2024 11:09:56,04-10-2024 11:10:23,27.413s,PASSED
utils.openBrowserAndNavigateToPMT(),Chrome 129.0.0.0,,,04-10-2024 11:09:57,04-10-2024 11:10:08,11.244s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 11:10:08,04-10-2024 11:10:19,10.796s,FAILED
catch (Exception e),Chrome 129.0.0.0,,,04-10-2024 11:10:19,04-10-2024 11:10:19,0.014s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 11:10:19,04-10-2024 11:10:21,2.247s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 11:10:23,04-10-2024 11:10:23,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/ScheduledPayments/TC4_ScheduledPayment_Get,Chrome 129.0.0.0,,,04-10-2024 11:10:23,04-10-2024 11:11:16,52.845s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 11:10:24,04-10-2024 11:11:12,48.009s,PASSED
catch (Exception e),Chrome 129.0.0.0,,,04-10-2024 11:11:12,04-10-2024 11:11:12,0.010s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 11:11:12,04-10-2024 11:11:14,2.140s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 11:11:16,04-10-2024 11:11:16,0.001s,PASSED
