Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validations,Chrome 129.0.0.0,,,04-10-2024 10:14:17,04-10-2024 10:18:08,3m - 50.877s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC1_PrevalidationsAndConf,Chrome 129.0.0.0,,,04-10-2024 10:14:18,04-10-2024 10:17:27,3m - 9.027s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 10:14:26,04-10-2024 10:17:22,2m - 55.992s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 10:17:22,04-10-2024 10:17:24,2.341s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 10:17:27,04-10-2024 10:17:27,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC2_PrevalidationsByCtryOrCurr,Chrome 129.0.0.0,,,04-10-2024 10:17:27,04-10-2024 10:18:08,41.478s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 10:17:27,04-10-2024 10:18:04,36.392s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 10:18:04,04-10-2024 10:18:06,2.275s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 10:18:08,04-10-2024 10:18:08,0.002s,PASSED
