Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GiftCard,Chrome 129.0.0.0,,,04-10-2024 11:07:54,04-10-2024 11:10:02,2m - 8.310s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/GiftCard/TC1_GiftCard_GetBalance,Chrome 129.0.0.0,,,04-10-2024 11:07:54,04-10-2024 11:10:02,2m - 7.987s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 11:08:02,04-10-2024 11:09:57,1m - 55.739s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 11:09:57,04-10-2024 11:10:00,2.356s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 11:10:02,04-10-2024 11:10:02,0.001s,PASSED
