Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cardTokenization,Chrome 131.0.0.0,,,22-01-2025 22:30:55,22-01-2025 22:32:05,1m - 9.186s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC2_CardTokenization_GenerateToken,Chrome 131.0.0.0,,,22-01-2025 22:30:56,22-01-2025 22:31:32,35.830s,PASSED
try,Chrome 131.0.0.0,,,22-01-2025 22:31:00,22-01-2025 22:31:27,27.033s,PASSED
Finally,Chrome 131.0.0.0,,,22-01-2025 22:31:27,22-01-2025 22:31:29,2.158s,PASSED
Video,Chrome 131.0.0.0,,,22-01-2025 22:31:32,22-01-2025 22:31:32,0.000s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC1_CardTokenization_EncryptedCard,Chrome 131.0.0.0,,,22-01-2025 22:31:32,22-01-2025 22:32:05,33.124s,PASSED
try,Chrome 131.0.0.0,,,22-01-2025 22:31:32,22-01-2025 22:32:00,28.723s,PASSED
Finally,Chrome 131.0.0.0,,,22-01-2025 22:32:00,22-01-2025 22:32:03,2.141s,PASSED
Video,Chrome 131.0.0.0,,,22-01-2025 22:32:05,22-01-2025 22:32:05,0.001s,PASSED
