Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Wallets,,,,16-09-2024 13:49:58,16-09-2024 13:50:33,35.267s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC3_Wallet_Update,,,,16-09-2024 13:49:58,16-09-2024 13:50:10,12.360s,PASSED
try,,,,16-09-2024 13:50:00,16-09-2024 13:50:08,8.234s,FAILED
catch (Exception e),,,,16-09-2024 13:50:08,16-09-2024 13:50:08,0.326s,PASSED
Finally,,,,16-09-2024 13:50:08,16-09-2024 13:50:10,2.152s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/Wallet_Get,,,,16-09-2024 13:50:10,16-09-2024 13:50:19,8.728s,PASSED
try,,,,16-09-2024 13:50:11,16-09-2024 13:50:17,6.036s,FAILED
catch (Exception e),,,,16-09-2024 13:50:17,16-09-2024 13:50:17,0.017s,PASSED
Finally,,,,16-09-2024 13:50:17,16-09-2024 13:50:19,2.026s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC2__Replace,,,,16-09-2024 13:50:19,16-09-2024 13:50:25,5.382s,PASSED
try,,,,16-09-2024 13:50:20,16-09-2024 13:50:23,2.876s,FAILED
catch (Exception e),,,,16-09-2024 13:50:23,16-09-2024 13:50:23,0.012s,PASSED
Finally,,,,16-09-2024 13:50:23,16-09-2024 13:50:25,2.026s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC1_Wallet_Add,,,,16-09-2024 13:50:25,16-09-2024 13:50:29,4.307s,PASSED
try,,,,16-09-2024 13:50:25,16-09-2024 13:50:27,2.029s,FAILED
catch (Exception e),,,,16-09-2024 13:50:27,16-09-2024 13:50:27,0.014s,PASSED
Finally,,,,16-09-2024 13:50:27,16-09-2024 13:50:29,2.019s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC4_Wallet_Delete,,,,16-09-2024 13:50:29,16-09-2024 13:50:33,4.166s,PASSED
try,,,,16-09-2024 13:50:29,16-09-2024 13:50:31,1.869s,FAILED
catch (Exception e),,,,16-09-2024 13:50:31,16-09-2024 13:50:31,0.021s,PASSED
Finally,,,,16-09-2024 13:50:31,16-09-2024 13:50:33,2.022s,PASSED
