Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validations,Chrome 131.0.0.0,,,16-01-2025 12:05:24,16-01-2025 12:11:42,6m - 18.052s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC1_PrevalidationsAndConf,Chrome 131.0.0.0,,,16-01-2025 12:05:24,16-01-2025 12:08:35,3m - 11.017s,PASSED
try,Chrome 131.0.0.0,,,16-01-2025 12:05:27,16-01-2025 12:08:30,3m - 3.695s,FAILED
catch (Exception e),Chrome 131.0.0.0,,,16-01-2025 12:08:30,16-01-2025 12:08:31,0.055s,PASSED
Finally,Chrome 131.0.0.0,,,16-01-2025 12:08:31,16-01-2025 12:08:33,2.148s,PASSED
Video,Chrome 131.0.0.0,,,16-01-2025 12:08:35,16-01-2025 12:08:35,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC2_PrevalidationsByCtryOrCurr,Chrome 131.0.0.0,,,16-01-2025 12:08:35,16-01-2025 12:11:42,3m - 6.890s,PASSED
try,Chrome 131.0.0.0,,,16-01-2025 12:08:35,16-01-2025 12:11:37,3m - 2.395s,FAILED
catch (Exception e),Chrome 131.0.0.0,,,16-01-2025 12:11:37,16-01-2025 12:11:37,0.009s,PASSED
Finally,Chrome 131.0.0.0,,,16-01-2025 12:11:37,16-01-2025 12:11:40,2.124s,PASSED
Video,Chrome 131.0.0.0,,,16-01-2025 12:11:42,16-01-2025 12:11:42,0.001s,PASSED
