Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GiftCard,Chrome 131.0.0.0,,,20-01-2025 11:27:33,20-01-2025 11:28:54,1m - 21.780s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/GiftCard/TC1_GiftCard_GetBalance,Chrome 131.0.0.0,,,20-01-2025 11:27:33,20-01-2025 11:28:54,1m - 21.642s,PASSED
try,Chrome 131.0.0.0,,,20-01-2025 11:27:37,20-01-2025 11:28:50,1m - 13.559s,PASSED
Finally,Chrome 131.0.0.0,,,20-01-2025 11:28:50,20-01-2025 11:28:52,2.165s,PASSED
Video,Chrome 131.0.0.0,,,20-01-2025 11:28:54,20-01-2025 11:28:54,0.000s,PASSED
