Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Wallets,,,,16-09-2024 14:55:17,16-09-2024 14:55:51,34.572s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC3_Wallet_Update,,,,16-09-2024 14:55:17,16-09-2024 14:55:29,11.951s,PASSED
try,,,,16-09-2024 14:55:19,16-09-2024 14:55:27,7.616s,FAILED
catch (Exception e),,,,16-09-2024 14:55:27,16-09-2024 14:55:27,0.105s,PASSED
Finally,,,,16-09-2024 14:55:27,16-09-2024 14:55:29,2.052s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/Wallet_Get,,,,16-09-2024 14:55:29,16-09-2024 14:55:37,7.492s,PASSED
try,,,,16-09-2024 14:55:29,16-09-2024 14:55:35,5.346s,FAILED
catch (Exception e),,,,16-09-2024 14:55:35,16-09-2024 14:55:35,0.016s,PASSED
Finally,,,,16-09-2024 14:55:35,16-09-2024 14:55:37,2.015s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC2__Replace,,,,16-09-2024 14:55:37,16-09-2024 14:55:43,6.236s,PASSED
try,,,,16-09-2024 14:55:38,16-09-2024 14:55:41,2.632s,FAILED
catch (Exception e),,,,16-09-2024 14:55:41,16-09-2024 14:55:41,0.011s,PASSED
Finally,,,,16-09-2024 14:55:41,16-09-2024 14:55:43,2.013s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC1_Wallet_Add,,,,16-09-2024 14:55:43,16-09-2024 14:55:47,4.281s,PASSED
try,,,,16-09-2024 14:55:43,16-09-2024 14:55:45,1.981s,FAILED
catch (Exception e),,,,16-09-2024 14:55:45,16-09-2024 14:55:45,0.009s,PASSED
Finally,,,,16-09-2024 14:55:45,16-09-2024 14:55:47,2.012s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC4_Wallet_Delete,,,,16-09-2024 14:55:47,16-09-2024 14:55:51,4.216s,PASSED
try,,,,16-09-2024 14:55:47,16-09-2024 14:55:49,2.014s,FAILED
catch (Exception e),,,,16-09-2024 14:55:49,16-09-2024 14:55:49,0.006s,PASSED
Finally,,,,16-09-2024 14:55:49,16-09-2024 14:55:51,2.010s,PASSED
