Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Wallets,Chrome 132.0.0.0,,,30-01-2025 15:42:48,30-01-2025 15:43:40,51.907s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC3_Wallet_Update,Chrome 132.0.0.0,,,30-01-2025 15:42:48,30-01-2025 15:43:15,26.708s,PASSED
try,Chrome 132.0.0.0,,,30-01-2025 15:42:49,30-01-2025 15:43:10,20.326s,PASSED
catch (AssertionError e),Chrome 132.0.0.0,,,30-01-2025 15:43:10,30-01-2025 15:43:11,1.097s,PASSED
Finally,Chrome 132.0.0.0,,,30-01-2025 15:43:11,30-01-2025 15:43:13,2.183s,PASSED
Video,Chrome 132.0.0.0,,,30-01-2025 15:43:15,30-01-2025 15:43:15,0.000s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC4_Wallet_Delete,Chrome 132.0.0.0,,,30-01-2025 15:43:15,30-01-2025 15:43:40,25.064s,PASSED
try,Chrome 132.0.0.0,,,30-01-2025 15:43:15,30-01-2025 15:43:35,19.569s,PASSED
catch (AssertionError e),Chrome 132.0.0.0,,,30-01-2025 15:43:35,30-01-2025 15:43:36,1.003s,PASSED
Finally,Chrome 132.0.0.0,,,30-01-2025 15:43:36,30-01-2025 15:43:38,2.153s,PASSED
Video,Chrome 132.0.0.0,,,30-01-2025 15:43:40,30-01-2025 15:43:40,0.000s,PASSED
