Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ScheduledPayments,Chrome 131.0.0.0,,,21-01-2025 14:05:00,21-01-2025 14:06:38,1m - 38.628s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/ScheduledPayments/TC1_ScheduledPayment_GetEligibility,Chrome 131.0.0.0,,,21-01-2025 14:05:00,21-01-2025 14:05:27,27.637s,PASSED
utils.openBrowserAndNavigateToPMT(),Chrome 131.0.0.0,,,21-01-2025 14:05:01,21-01-2025 14:05:08,6.694s,PASSED
try,Chrome 131.0.0.0,,,21-01-2025 14:05:08,21-01-2025 14:05:23,15.256s,FAILED
catch (Exception e),Chrome 131.0.0.0,,,21-01-2025 14:05:23,21-01-2025 14:05:23,0.048s,PASSED
Finally,Chrome 131.0.0.0,,,21-01-2025 14:05:23,21-01-2025 14:05:25,2.146s,PASSED
Video,Chrome 131.0.0.0,,,21-01-2025 14:05:27,21-01-2025 14:05:27,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/ScheduledPayments/TC3_ScheduledPayment_Add,Chrome 131.0.0.0,,,21-01-2025 14:05:27,21-01-2025 14:05:55,27.237s,PASSED
utils.openBrowserAndNavigateToPMT(),Chrome 131.0.0.0,,,21-01-2025 14:05:28,21-01-2025 14:05:33,5.213s,PASSED
try,Chrome 131.0.0.0,,,21-01-2025 14:05:33,21-01-2025 14:05:50,17.440s,FAILED
catch (Exception e),Chrome 131.0.0.0,,,21-01-2025 14:05:50,21-01-2025 14:05:50,0.005s,PASSED
Finally,Chrome 131.0.0.0,,,21-01-2025 14:05:50,21-01-2025 14:05:52,2.135s,PASSED
Video,Chrome 131.0.0.0,,,21-01-2025 14:05:55,21-01-2025 14:05:55,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/ScheduledPayments/TC2_ScheduledPayment_ConfirmWithRequest,Chrome 131.0.0.0,,,21-01-2025 14:05:55,21-01-2025 14:06:17,22.255s,PASSED
utils.openBrowserAndNavigateToPMT(),Chrome 131.0.0.0,,,21-01-2025 14:05:55,21-01-2025 14:05:59,4.635s,PASSED
try,Chrome 131.0.0.0,,,21-01-2025 14:05:59,21-01-2025 14:06:13,13.226s,FAILED
catch (Exception e),Chrome 131.0.0.0,,,21-01-2025 14:06:13,21-01-2025 14:06:13,0.006s,PASSED
Finally,Chrome 131.0.0.0,,,21-01-2025 14:06:13,21-01-2025 14:06:15,2.142s,PASSED
Video,Chrome 131.0.0.0,,,21-01-2025 14:06:17,21-01-2025 14:06:17,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/ScheduledPayments/TC4_ScheduledPayment_Get,Chrome 131.0.0.0,,,21-01-2025 14:06:17,21-01-2025 14:06:38,21.354s,PASSED
try,Chrome 131.0.0.0,,,21-01-2025 14:06:17,21-01-2025 14:06:34,16.874s,PASSED
catch (Exception e),Chrome 131.0.0.0,,,21-01-2025 14:06:34,21-01-2025 14:06:34,0.007s,PASSED
Finally,Chrome 131.0.0.0,,,21-01-2025 14:06:34,21-01-2025 14:06:36,2.138s,PASSED
Video,Chrome 131.0.0.0,,,21-01-2025 14:06:38,21-01-2025 14:06:38,0.001s,PASSED
