Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cardTokenization,Chrome 136.0.0.0,,,26-05-2025 10:14:00,26-05-2025 10:14:59,59.078s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC2_CardTokenization_GenerateToken,Chrome 136.0.0.0,,,26-05-2025 10:14:00,26-05-2025 10:14:31,30.681s,PASSED
try,Chrome 136.0.0.0,,,26-05-2025 10:14:01,26-05-2025 10:14:26,25.178s,PASSED
Finally,Chrome 136.0.0.0,,,26-05-2025 10:14:26,26-05-2025 10:14:29,2.201s,PASSED
Video,Chrome 136.0.0.0,,,26-05-2025 10:14:31,26-05-2025 10:14:31,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC1_CardTokenization_EncryptedCard,Chrome 136.0.0.0,,,26-05-2025 10:14:31,26-05-2025 10:14:59,28.270s,PASSED
try,Chrome 136.0.0.0,,,26-05-2025 10:14:31,26-05-2025 10:14:55,23.855s,PASSED
Finally,Chrome 136.0.0.0,,,26-05-2025 10:14:55,26-05-2025 10:14:57,2.119s,PASSED
Video,Chrome 136.0.0.0,,,26-05-2025 10:14:59,26-05-2025 10:14:59,0.001s,PASSED
