Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Payment,,,,19-09-2024 09:44:50,19-09-2024 09:44:57,6.536s,FAILED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Payments/TC2_Payment_CapturePayment,,,,19-09-2024 09:44:50,19-09-2024 09:44:55,4.284s,FAILED
utils.openBrowserAndNavigateToPMT(),,,,19-09-2024 09:44:51,19-09-2024 09:44:55,3.420s,FAILED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Payments/TC1_Payment_AuthorizePayment,,,,19-09-2024 09:44:55,19-09-2024 09:44:57,2.116s,FAILED
utils.openBrowserAndNavigateToPMT(),,,,19-09-2024 09:44:55,19-09-2024 09:44:57,1.802s,FAILED
