Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validations,Chrome 131.0.0.0,,,21-01-2025 14:01:57,21-01-2025 14:04:52,2m - 55.011s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC1_PrevalidationsAndConf,Chrome 131.0.0.0,,,21-01-2025 14:01:57,21-01-2025 14:04:18,2m - 21.215s,PASSED
try,Chrome 131.0.0.0,,,21-01-2025 14:01:59,21-01-2025 14:04:14,2m - 14.934s,PASSED
Finally,Chrome 131.0.0.0,,,21-01-2025 14:04:14,21-01-2025 14:04:16,2.179s,PASSED
Video,Chrome 131.0.0.0,,,21-01-2025 14:04:18,21-01-2025 14:04:18,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC2_PrevalidationsByCtryOrCurr,Chrome 131.0.0.0,,,21-01-2025 14:04:18,21-01-2025 14:04:52,33.653s,PASSED
try,Chrome 131.0.0.0,,,21-01-2025 14:04:18,21-01-2025 14:04:47,29.228s,PASSED
Finally,Chrome 131.0.0.0,,,21-01-2025 14:04:47,21-01-2025 14:04:50,2.136s,PASSED
Video,Chrome 131.0.0.0,,,21-01-2025 14:04:52,21-01-2025 14:04:52,0.000s,PASSED
