Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GiftCard,Chrome 135.0.0.0,,,29-04-2025 11:55:04,29-04-2025 11:56:11,1m - 7.895s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/GiftCard/TC1_GiftCard_GetBalance,Chrome 135.0.0.0,,,29-04-2025 11:55:04,29-04-2025 11:56:11,1m - 7.756s,PASSED
try,Chrome 135.0.0.0,,,29-04-2025 11:55:05,29-04-2025 11:56:07,1m - 2.315s,PASSED
Finally,Chrome 135.0.0.0,,,29-04-2025 11:56:07,29-04-2025 11:56:09,2.191s,PASSED
Video,Chrome 135.0.0.0,,,29-04-2025 11:56:11,29-04-2025 11:56:11,0.001s,PASSED
