Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GiftCard,Chrome 128.0.0.0,,,19-09-2024 11:17:47,19-09-2024 11:18:33,46.284s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/GiftCard/TC1_GiftCard_GetBalance,Chrome 128.0.0.0,,,19-09-2024 11:17:47,19-09-2024 11:18:33,46.072s,PASSED
try,Chrome 128.0.0.0,,,19-09-2024 11:17:49,19-09-2024 11:18:31,41.906s,PASSED
catch (AssertionError e),Chrome 128.0.0.0,,,19-09-2024 11:18:31,19-09-2024 11:18:31,0.213s,PASSED
Finally,Chrome 128.0.0.0,,,19-09-2024 11:18:31,19-09-2024 11:18:33,2.339s,PASSED
