Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Wallets,Chrome 136.0.0.0,,,26-05-2025 09:42:50,26-05-2025 09:44:37,1m - 46.805s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC3_Wallet_Update,Chrome 136.0.0.0,,,26-05-2025 09:42:50,26-05-2025 09:43:11,20.519s,PASSED
try,Chrome 136.0.0.0,,,26-05-2025 09:42:52,26-05-2025 09:43:06,14.546s,PASSED
catch (Exception e),Chrome 136.0.0.0,,,26-05-2025 09:43:06,26-05-2025 09:43:06,0.015s,PASSED
Finally,Chrome 136.0.0.0,,,26-05-2025 09:43:06,26-05-2025 09:43:08,2.157s,PASSED
Video,Chrome 136.0.0.0,,,26-05-2025 09:43:11,26-05-2025 09:43:11,0.000s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/Wallet_Get,Chrome 136.0.0.0,,,26-05-2025 09:43:11,26-05-2025 09:43:23,12.845s,PASSED
try,Chrome 136.0.0.0,,,26-05-2025 09:43:11,26-05-2025 09:43:19,8.541s,PASSED
Finally,Chrome 136.0.0.0,,,26-05-2025 09:43:19,26-05-2025 09:43:21,2.133s,PASSED
Video,Chrome 136.0.0.0,,,26-05-2025 09:43:23,26-05-2025 09:43:23,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC2__Replace,Chrome 136.0.0.0,,,26-05-2025 09:43:23,26-05-2025 09:43:43,19.886s,PASSED
try,Chrome 136.0.0.0,,,26-05-2025 09:43:24,26-05-2025 09:43:39,15.363s,PASSED
Finally,Chrome 136.0.0.0,,,26-05-2025 09:43:39,26-05-2025 09:43:41,2.142s,PASSED
Video,Chrome 136.0.0.0,,,26-05-2025 09:43:43,26-05-2025 09:43:43,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Wallets/TC1_Wallet_Add,Chrome 136.0.0.0,,,26-05-2025 09:43:43,26-05-2025 09:44:37,53.415s,PASSED
try,Chrome 136.0.0.0,,,26-05-2025 09:43:43,26-05-2025 09:44:32,48.967s,PASSED
Finally,Chrome 136.0.0.0,,,26-05-2025 09:44:32,26-05-2025 09:44:35,2.146s,PASSED
Video,Chrome 136.0.0.0,,,26-05-2025 09:44:37,26-05-2025 09:44:37,0.001s,PASSED
