Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ScheduledPayments,Chrome 136.0.0.0,,,26-05-2025 09:36:17,26-05-2025 09:41:30,5m - 13.238s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/ScheduledPayments/TC1_ScheduledPayment_GetEligibility,Chrome 136.0.0.0,,,26-05-2025 09:36:17,26-05-2025 09:37:34,1m - 16.789s,PASSED
utils.openBrowserAndNavigateToPMT(),Chrome 136.0.0.0,,,26-05-2025 09:36:18,26-05-2025 09:36:23,4.800s,PASSED
try,Chrome 136.0.0.0,,,26-05-2025 09:36:23,26-05-2025 09:37:29,1m - 6.348s,PASSED
Finally,Chrome 136.0.0.0,,,26-05-2025 09:37:29,26-05-2025 09:37:32,2.168s,PASSED
Video,Chrome 136.0.0.0,,,26-05-2025 09:37:34,26-05-2025 09:37:34,0.000s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/ScheduledPayments/TC3_ScheduledPayment_Add,Chrome 136.0.0.0,,,26-05-2025 09:37:34,26-05-2025 09:39:09,1m - 35.835s,PASSED
utils.openBrowserAndNavigateToPMT(),Chrome 136.0.0.0,,,26-05-2025 09:37:34,26-05-2025 09:37:38,4.456s,PASSED
try,Chrome 136.0.0.0,,,26-05-2025 09:37:38,26-05-2025 09:39:04,1m - 25.767s,PASSED
catch (AssertionError e),Chrome 136.0.0.0,,,26-05-2025 09:39:04,26-05-2025 09:39:05,0.971s,PASSED
Finally,Chrome 136.0.0.0,,,26-05-2025 09:39:05,26-05-2025 09:39:07,2.186s,PASSED
Video,Chrome 136.0.0.0,,,26-05-2025 09:39:09,26-05-2025 09:39:09,0.000s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/ScheduledPayments/TC2_ScheduledPayment_ConfirmWithRequest,Chrome 136.0.0.0,,,26-05-2025 09:39:09,26-05-2025 09:40:31,1m - 21.456s,PASSED
utils.openBrowserAndNavigateToPMT(),Chrome 136.0.0.0,,,26-05-2025 09:39:10,26-05-2025 09:39:14,4.475s,PASSED
try,Chrome 136.0.0.0,,,26-05-2025 09:39:14,26-05-2025 09:40:27,1m - 12.574s,PASSED
Finally,Chrome 136.0.0.0,,,26-05-2025 09:40:27,26-05-2025 09:40:29,2.147s,PASSED
Video,Chrome 136.0.0.0,,,26-05-2025 09:40:31,26-05-2025 09:40:31,0.000s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/ScheduledPayments/TC4_ScheduledPayment_Get,Chrome 136.0.0.0,,,26-05-2025 09:40:31,26-05-2025 09:41:30,59.011s,PASSED
try,Chrome 136.0.0.0,,,26-05-2025 09:40:31,26-05-2025 09:41:25,54.348s,PASSED
catch (Exception e),Chrome 136.0.0.0,,,26-05-2025 09:41:25,26-05-2025 09:41:25,0.007s,PASSED
Finally,Chrome 136.0.0.0,,,26-05-2025 09:41:25,26-05-2025 09:41:28,2.331s,PASSED
Video,Chrome 136.0.0.0,,,26-05-2025 09:41:30,26-05-2025 09:41:30,0.001s,PASSED
