Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validations,Chrome 131.0.0.0,,,21-01-2025 09:48:54,21-01-2025 09:50:03,1m - 9.010s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC1_PrevalidationsAndConf,Chrome 131.0.0.0,,,21-01-2025 09:48:54,21-01-2025 09:49:26,32.603s,PASSED
try,Chrome 131.0.0.0,,,21-01-2025 09:48:56,21-01-2025 09:49:22,26.319s,PASSED
catch (Exception e),Chrome 131.0.0.0,,,21-01-2025 09:49:22,21-01-2025 09:49:22,0.039s,PASSED
Finally,Chrome 131.0.0.0,,,21-01-2025 09:49:22,21-01-2025 09:49:24,2.149s,PASSED
Video,Chrome 131.0.0.0,,,21-01-2025 09:49:26,21-01-2025 09:49:26,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC2_PrevalidationsByCtryOrCurr,Chrome 131.0.0.0,,,21-01-2025 09:49:26,21-01-2025 09:50:03,36.275s,PASSED
try,Chrome 131.0.0.0,,,21-01-2025 09:49:27,21-01-2025 09:49:58,31.834s,PASSED
Finally,Chrome 131.0.0.0,,,21-01-2025 09:49:58,21-01-2025 09:50:01,2.148s,PASSED
Video,Chrome 131.0.0.0,,,21-01-2025 09:50:03,21-01-2025 09:50:03,0.001s,PASSED
