Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cardTokenization,Chrome 131.0.0.0,,,15-01-2025 10:44:55,15-01-2025 10:45:59,1m - 4.100s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC2_CardTokenization_GenerateToken,Chrome 131.0.0.0,,,15-01-2025 10:44:55,15-01-2025 10:45:30,35.004s,PASSED
try,Chrome 131.0.0.0,,,15-01-2025 10:44:57,15-01-2025 10:45:26,29.201s,PASSED
Finally,Chrome 131.0.0.0,,,15-01-2025 10:45:26,15-01-2025 10:45:28,2.150s,PASSED
Video,Chrome 131.0.0.0,,,15-01-2025 10:45:30,15-01-2025 10:45:30,0.000s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC1_CardTokenization_EncryptedCard,Chrome 131.0.0.0,,,15-01-2025 10:45:30,15-01-2025 10:45:59,28.970s,PASSED
try,Chrome 131.0.0.0,,,15-01-2025 10:45:30,15-01-2025 10:45:55,24.612s,PASSED
Finally,Chrome 131.0.0.0,,,15-01-2025 10:45:55,15-01-2025 10:45:57,2.144s,PASSED
Video,Chrome 131.0.0.0,,,15-01-2025 10:45:59,15-01-2025 10:45:59,0.000s,PASSED
