Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validations,Chrome 129.0.0.0,,,04-10-2024 11:07:53,04-10-2024 11:09:45,1m - 51.584s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC1_PrevalidationsAndConf,Chrome 129.0.0.0,,,04-10-2024 11:07:53,04-10-2024 11:08:55,1m - 1.548s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 11:08:02,04-10-2024 11:08:49,47.081s,PASSED
catch (Exception e),Chrome 129.0.0.0,,,04-10-2024 11:08:49,04-10-2024 11:08:49,0.125s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 11:08:49,04-10-2024 11:08:52,2.809s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 11:08:55,04-10-2024 11:08:55,0.002s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC2_PrevalidationsByCtryOrCurr,Chrome 129.0.0.0,,,04-10-2024 11:08:55,04-10-2024 11:09:45,49.627s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 11:08:56,04-10-2024 11:09:40,44.320s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 11:09:40,04-10-2024 11:09:42,2.452s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 11:09:44,04-10-2024 11:09:44,0.002s,PASSED
