Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cardTokenization,Chrome 129.0.0.0,,,04-10-2024 08:22:19,04-10-2024 08:23:44,1m - 24.893s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC2_CardTokenization_GenerateToken,Chrome 129.0.0.0,,,04-10-2024 08:22:19,04-10-2024 08:23:12,52.781s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 08:22:26,04-10-2024 08:23:02,36.552s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 08:23:02,04-10-2024 08:23:06,3.351s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 08:23:12,04-10-2024 08:23:12,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC1_CardTokenization_EncryptedCard,Chrome 129.0.0.0,,,04-10-2024 08:23:12,04-10-2024 08:23:44,31.866s,PASSED
try,Chrome 129.0.0.0,,,04-10-2024 08:23:13,04-10-2024 08:23:39,26.088s,PASSED
Finally,Chrome 129.0.0.0,,,04-10-2024 08:23:39,04-10-2024 08:23:42,3.197s,PASSED
Video,Chrome 129.0.0.0,,,04-10-2024 08:23:44,04-10-2024 08:23:44,0.002s,PASSED
