Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validations,Chrome 133.0.0.0,,,13-02-2025 22:10:25,13-02-2025 22:11:35,1m - 10.530s,ERROR
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC1_PrevalidationsAndConf,Chrome 133.0.0.0,,,13-02-2025 22:10:25,13-02-2025 22:11:33,1m - 8.058s,PASSED
try,Chrome 133.0.0.0,,,13-02-2025 22:10:27,13-02-2025 22:11:29,1m - 1.387s,PASSED
catch (Exception e),Chrome 133.0.0.0,,,13-02-2025 22:11:29,13-02-2025 22:11:29,0.053s,PASSED
Finally,Chrome 133.0.0.0,,,13-02-2025 22:11:29,13-02-2025 22:11:31,2.234s,PASSED
Video,Chrome 133.0.0.0,,,13-02-2025 22:11:33,13-02-2025 22:11:33,0.000s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC2_PrevalidationsByCtryOrCurr,Chrome 133.0.0.0,,,13-02-2025 22:11:33,13-02-2025 22:11:35,2.285s,ERROR
Video,Chrome 133.0.0.0,,,13-02-2025 22:11:35,13-02-2025 22:11:35,0.002s,PASSED
