Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Validations,Chrome 129.0.0.0,,,25-09-2024 16:05:55,25-09-2024 16:07:02,1m - 7.807s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC1_PrevalidationsAndConf,Chrome 129.0.0.0,,,25-09-2024 16:05:55,25-09-2024 16:06:28,33.012s,PASSED
try,Chrome 129.0.0.0,,,25-09-2024 16:05:58,25-09-2024 16:06:24,25.698s,PASSED
catch (Exception e),Chrome 129.0.0.0,,,25-09-2024 16:06:24,25-09-2024 16:06:24,0.045s,PASSED
Finally,Chrome 129.0.0.0,,,25-09-2024 16:06:24,25-09-2024 16:06:26,2.142s,PASSED
Video,Chrome 129.0.0.0,,,25-09-2024 16:06:28,25-09-2024 16:06:28,0.001s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/Validations/TC2_PrevalidationsByCtryOrCurr,Chrome 129.0.0.0,,,25-09-2024 16:06:28,25-09-2024 16:07:02,34.540s,PASSED
try,Chrome 129.0.0.0,,,25-09-2024 16:06:28,25-09-2024 16:06:58,30.003s,PASSED
Finally,Chrome 129.0.0.0,,,25-09-2024 16:06:58,25-09-2024 16:07:00,2.178s,PASSED
Video,Chrome 129.0.0.0,,,25-09-2024 16:07:02,25-09-2024 16:07:02,0.000s,PASSED
