Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cardTokenization,Chrome 128.0.0.0,,,24-09-2024 13:24:55,24-09-2024 13:26:17,1m - 22.369s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC2_CardTokenization_GenerateToken,Chrome 128.0.0.0,,,24-09-2024 13:24:55,24-09-2024 13:25:36,40.921s,PASSED
try,Chrome 128.0.0.0,,,24-09-2024 13:24:56,24-09-2024 13:25:34,37.251s,PASSED
Finally,Chrome 128.0.0.0,,,24-09-2024 13:25:34,24-09-2024 13:25:36,2.193s,PASSED
,,,,,,,
Test Cases/Web_Utilities_TestCases/cardTokenization/TC1_CardTokenization_EncryptedCard,Chrome 128.0.0.0,,,24-09-2024 13:25:36,24-09-2024 13:26:17,41.213s,PASSED
try,Chrome 128.0.0.0,,,24-09-2024 13:25:36,24-09-2024 13:26:15,38.626s,PASSED
Finally,Chrome 128.0.0.0,,,24-09-2024 13:26:15,24-09-2024 13:26:17,2.411s,PASSED
